"Cust_ID";"Contract_date";"Package";"Gender";"Age";"Marital_Status";"Living_Condition";"Graduation";"Job_Type";"Income";"Peak_minute_09";"Weekend_minute_09";"Offpeak_minute_09";"Offpeak_nr_09";"Peak_nr_09";"Weekend_nr_09";"Selfnet_minute_09";"Fixed_minute_09";"Othermob_minute_09";"Voicemail_nr_09";"Voicemail_minute_09";"SMS_09";"Peak_minute_10";"Weekend_minute_10";"Offpeak_minute_10";"Offpeak_nr_10";"Peak_nr_10";"Weekend_nr_10";"Selfnet_minute_10";"Fixed_minute_10";"Othermob_minute_10";"Voicemail_nr_10";"Voicemail_minute_10";"SMS_10";"Peak_minute_11";"Weekend_minute_11";"Offpeak_minute_11";"Offpeak_nr_11";"Peak_nr_11";"Weekend_nr_11";"Selfnet_minute_11";"Fixed_minute_11";"Othermob_minute_11";"Voicemail_nr_11";"Voicemail_minute_11";"SMS_11";"Peak_minute_12";"Weekend_minute_12";"Offpeak_minute_12";"Offpeak_nr_12";"Peak_nr_12";"Weekend_nr_12";"Selfnet_minute_12";"Fixed_minute_12";"Othermob_minute_12";"Voicemail_nr_12";"Voicemail_minute_12";"SMS_12"
"ID0029116";"05/12/2005";"PACK_B";"Male";48.0;"Married";"Owner";"Highschool";"Leader";"15_30k";1.18;3.03;0.0;0.0;7.0;8.0;1.4;0.4;2.35;15.0;4.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;1.0;0.0;0.02;0.0;0.0;1.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ID0050206";"10/19/2004";"PACK_X";"Male";43.0;"Married";"Owner";"Highschool";"Executive";"30_60k";78.05;3.9;8.43;5.0;103.0;9.0;19.67;2.83;67.88;116.0;90.38;1.0;24.3;15.53;2.63;9.0;40.0;16.0;17.15;1.68;23.35;65.0;42.47;0.0;55.27;1.27;1.75;7.0;64.0;4.0;6.63;15.45;36.2;74.0;58.28;1.0;9.97;8.65;4.23;3.0;22.0;18.0;2.98;0.38;9.4;31.0;22.07;12.0
"ID0050904";"10/12/2004";"PACK_A";"Female";48.0;"Married";"Owner";"Highschool";"Public_Employee";"15_30k";153.67;43.2;43.0;19.0;101.0;29.0;111.7;22.03;104.87;146.0;239.87;3.0;132.48;161.25;79.68;33.0;97.0;50.0;112.53;67.7;193.18;180.0;373.42;0.0;243.58;163.37;247.02;39.0;143.0;53.0;116.68;12.05;520.25;229.0;648.98;1.0;170.7;67.65;183.57;58.0;131.0;49.0;135.75;10.43;274.12;182.0;420.53;68.0
"ID0051157";"12/20/2004";"PACK_Z";"Male";36.0;"Married";"Owner";"Highschool";"Public_Employee";"Below_15k";3.03;3.03;2.35;8.0;12.0;2.0;1.02;0.0;8.8;14.0;9.82;13.0;8.53;3.5;0.82;1.0;5.0;6.0;0.0;0.0;12.85;8.0;12.85;6.0;4.07;3.55;0.0;0.0;12.0;8.0;3.58;0.0;2.72;10.0;6.3;9.0;0.33;0.0;0.0;2.0;1.0;7.0;0.33;0.0;0.0;1.0;0.33;8.0
"ID0051913";"11/22/2004";"PACK_B";"Male";27.0;"Married";"Owner";"University";"Public_Employee";"30_60k";8.42;6.82;0.28;2.0;7.0;8.0;0.17;0.0;15.35;17.0;15.52;0.0;8.93;2.48;7.55;3.0;5.0;3.0;0.0;0.0;18.97;11.0;18.97;0.0;7.28;2.32;0.9;2.0;5.0;3.0;0.0;0.0;10.5;10.0;10.5;0.0;9.33;4.07;5.45;4.0;6.0;4.0;0.0;0.0;18.12;13.0;18.12;0.0
"ID0052584";"04/22/2005";"PACK_B";"Male";66.0;"Married";"Owner";"Highschool";"Retired";"Below_15k";10.67;3.05;0.0;0.0;17.0;2.0;6.07;3.23;4.42;19.0;13.72;0.0;17.08;6.53;0.45;1.0;20.0;7.0;12.5;4.8;6.77;28.0;24.07;0.0;9.42;1.05;0.0;0.0;13.0;2.0;9.42;0.0;1.05;15.0;10.47;0.0;7.68;0.28;2.68;1.0;7.0;1.0;1.72;0.0;8.93;9.0;10.65;0.0
"ID0055250";"12/13/2005";"PACK_Z";"Male";34.0;"Divorced";"Owner";"Highschool";"Labourer";"15_30k";6.42;7.63;2.7;6.0;9.0;9.0;0.0;0.0;17.62;25.0;17.62;1.0;10.45;1.97;5.48;8.0;8.0;4.0;3.4;0.28;17.02;22.0;20.7;0.0;5.9;0.75;4.65;19.0;11.0;3.0;8.53;0.48;4.53;38.0;13.55;0.0;15.82;1.25;6.57;3.0;13.0;3.0;12.03;0.0;4.43;21.0;25.47;0.0
"ID0055276";"12/30/2005";"PACK_E";"Male";54.0;"Married";"Owner";"Highschool";"Labourer";"Below_15k";1.55;3.05;0.97;2.0;5.0;9.0;2.25;0.42;2.9;15.0;5.57;1.0;3.45;8.22;0.42;3.0;8.0;21.0;4.78;0.02;6.37;32.0;12.08;0.0;3.03;1.83;0.0;0.0;9.0;9.0;3.42;0.27;1.18;18.0;4.87;0.0;9.85;0.98;0.17;1.0;24.0;3.0;4.83;0.0;6.17;25.0;11.0;3.0
"ID0056439";"11/04/2005";"PACK_C";"Female";25.0;"Single";"Owner";"Highschool";"Labourer";"15_30k";53.95;64.67;26.17;21.0;43.0;41.0;68.2;0.0;83.13;72.0;151.6;37.0;73.13;33.6;11.32;14.0;54.0;30.0;41.9;0.65;89.6;71.0;132.15;31.0;144.47;39.52;84.53;58.0;87.0;30.0;115.57;13.4;137.03;139.0;268.3;23.0;166.77;132.15;100.17;65.0;119.0;65.0;252.63;8.48;173.68;111.0;319.97;102.0
"ID0056616";"09/17/2005";"PACK_X";"Female";28.0;"Married";"Owner";"University";"Public_Employee";"30_60k";155.17;46.57;59.95;43.0;152.0;47.0;111.82;14.05;135.82;211.0;261.68;31.0;165.23;23.27;72.53;56.0;140.0;33.0;98.97;10.87;151.2;195.0;261.03;34.0;198.72;22.88;39.32;37.0;207.0;37.0;125.92;27.33;103.75;223.0;257.62;56.0;91.6;47.83;24.5;38.0;124.0;64.0;109.27;1.55;63.35;128.0;175.47;100.0
