target,f_brsame,f_cap,f_fname,f_instantpur,f_landline,f_mname,f_odprot,f_othercard,f_pnid,f_ppce,f_ppoa,f_ptaxid,f_sex,f_tel,f_wscity,f_wsstate,has_persref,customer_id,cat_bsresid,cat_civstatus,cat_occupid,cat_pinconf,cat_residtype,cat_zip1,cat_zip2,cat_zip3,cat_zip4,cat_opstate,cat_dem,num_account,num_age,num_income,num_ndep,num_samejob,num_sameplace,year,month,num_sameplace_1
0.0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1.0,44087,MG,0,13,,1,3,0,7,7,MG,882,1.0,70.0,46500.0,0.0,216.0,180.0,2009.0,7.0,5.0
1.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,6467,MG,1,41,,0,3,0,7,7,MG,882,0.0,29.0,100000.0,0.0,24.0,48.0,2010.0,6.0,3.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,272266,MG,0,2,,0,3,0,7,7,MG,882,0.0,28.0,150000.0,0.0,48.0,336.0,2010.0,7.0,5.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,3783,MG,0,50,,1,3,0,7,7,MG,882,0.0,56.0,46500.0,0.0,192.0,672.0,2009.0,10.0,6.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,1111776,MG,3,13,,1,3,0,7,7,MG,882,0.0,80.0,46500.0,0.0,240.0,324.0,2009.0,11.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1.0,116248,MG,1,50,,0,3,0,7,7,MG,882,0.0,47.0,51000.0,0.0,108.0,108.0,2010.0,11.0,4.0
0.0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0.0,1183864,MG,0,24,0,0,3,0,7,7,MG,882,0.0,46.0,57700.0,0.0,24.0,480.0,2010.0,4.0,6.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,1303722,MG,0,26,,0,3,0,7,7,MG,882,0.0,53.0,76500.0,0.0,264.0,120.0,2010.0,6.0,4.0
0.0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1.0,284452,MG,1,2,,0,3,1,3,1,MG,882,0.0,28.0,153000.0,0.0,60.0,48.0,2010.0,6.0,3.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,1313775,MG,0,713,,0,3,1,3,4,MG,882,0.0,28.0,90000.0,0.0,24.0,30.0,2010.0,6.0,3.0
0.0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1.0,133042,MG,0,713,,0,3,1,3,4,MG,882,0.0,35.0,127500.0,0.0,156.0,360.0,2010.0,5.0,5.0
1.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,568,MG,0,38,,0,3,1,2,7,MG,882,0.0,35.0,56000.0,0.0,48.0,24.0,2009.0,7.0,3.0
0.0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1.0,23300,MG,0,165,,1,3,1,2,7,MG,882,0.0,29.0,46500.0,0.0,36.0,60.0,2009.0,4.0,4.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,253,MG,0,50,,0,3,1,2,7,MG,882,0.0,28.0,51000.0,0.0,60.0,120.0,2010.0,6.0,4.0
0.0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1.0,54720,MG,1,50,,0,3,1,2,7,MG,882,0.0,43.0,51000.0,0.0,48.0,36.0,2010.0,11.0,3.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,125075,MG,2,168,,0,3,1,2,7,MG,882,0.0,40.0,100000.0,0.0,36.0,360.0,2010.0,11.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1.0,6876,MG,1,50,,0,3,1,3,3,MG,882,0.0,29.0,51000.0,0.0,24.0,72.0,2010.0,10.0,4.0
0.0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1.0,72082,MG,1,131,,3,3,1,3,3,MG,882,0.0,28.0,46500.0,1.0,36.0,36.0,2009.0,4.0,3.0
0.0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,80575,MG,0,717,,1,3,1,3,3,MG,882,0.0,67.0,178500.0,0.0,360.0,36.0,2010.0,3.0,3.0
0.0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1.0,286586,MG,0,717,,1,3,1,3,3,MG,882,0.0,23.0,162700.0,0.0,19.0,108.0,2009.0,12.0,4.0
0.0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1.0,115325,MG,1,43,,1,3,1,3,3,MG,882,0.0,41.0,51000.0,0.0,120.0,192.0,2010.0,2.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,1182344,MG,0,88,,0,3,1,3,3,MG,882,0.0,42.0,139500.0,0.0,120.0,13.0,2009.0,12.0,2.0
1.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,1241564,MG,1,165,,1,3,1,3,3,MG,882,1.0,39.0,46500.0,0.0,156.0,264.0,2009.0,4.0,5.0
0.0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1.0,501715,MG,0,30,,0,3,0,8,5,MG,882,0.0,49.0,51000.0,0.0,15.0,60.0,2010.0,12.0,4.0
1.0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0.0,582725,MG,0,68,0,1,3,0,8,5,MG,882,0.0,19.0,46500.0,0.0,19.0,48.0,2009.0,11.0,3.0
0.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1.0,242245,MG,1,654,,0,3,0,8,5,MG,882,0.0,28.0,46500.0,0.0,156.0,12.0,2009.0,6.0,2.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1.0,17066,MG,0,123,,1,3,0,8,8,MG,882,0.0,56.0,53900.0,0.0,480.0,360.0,2009.0,12.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,248548,MG,1,50,,0,3,0,8,8,MG,882,0.0,30.0,51000.0,0.0,36.0,12.0,2010.0,12.0,2.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,7647,MG,1,13,,1,3,0,8,8,MG,882,0.0,61.0,46500.0,0.0,216.0,216.0,2009.0,8.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,3838,MG,1,50,,0,3,0,8,8,MG,882,0.0,51.0,51000.0,0.0,19.0,360.0,2010.0,11.0,5.0
1.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,105264,MG,0,100,,0,3,0,8,8,MG,882,0.0,44.0,46500.0,0.0,48.0,72.0,2009.0,5.0,4.0
0.0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1.0,123062,MG,1,61,,1,3,0,8,8,MG,882,0.0,43.0,41500.0,2.0,24.0,480.0,2009.0,1.0,6.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,112886,MG,1,50,,0,3,1,1,5,MG,882,0.0,45.0,51000.0,0.0,48.0,540.0,2010.0,10.0,6.0
0.0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1.0,462041,MG,0,40,,2,3,1,1,5,MG,882,0.0,18.0,41500.0,0.0,24.0,216.0,2009.0,2.0,5.0
0.0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1.0,1256127,MG,1,1,,0,3,1,1,5,MG,882,0.0,38.0,153000.0,0.0,60.0,12.0,2010.0,5.0,2.0
0.0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1.0,45151,MG,1,18,,0,3,0,8,4,MG,882,0.0,57.0,139500.0,0.0,24.0,384.0,2009.0,12.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0.0,33044,MG,1,250,,0,3,1,5,3,MG,882,0.0,27.0,153000.0,0.0,18.0,48.0,2010.0,7.0,3.0
0.0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1.0,416325,MG,1,38,,1,3,1,5,3,MG,882,0.0,24.0,58000.0,0.0,12.0,24.0,2010.0,10.0,3.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1.0,4813,MG,1,13,0,1,3,1,5,3,MG,882,0.0,77.0,46500.0,0.0,132.0,240.0,2009.0,12.0,5.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,5370,MG,0,60,,0,3,1,5,3,MG,882,0.0,22.0,51000.0,0.0,60.0,96.0,2010.0,12.0,4.0
0.0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1.0,1165426,MG,1,305,,0,3,1,5,3,MG,882,0.0,41.0,102000.0,0.0,252.0,60.0,2010.0,10.0,4.0
0.0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1.0,255574,MG,1,263,,0,3,0,7,2,MG,882,0.0,61.0,204000.0,0.0,180.0,180.0,2010.0,5.0,5.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1.0,87344,MG,1,117,,1,3,0,7,2,MG,882,1.0,52.0,127500.0,0.0,240.0,120.0,2010.0,3.0,4.0
0.0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1.0,1007321,MG,0,222,,1,3,0,7,2,MG,882,0.0,53.0,51000.0,0.0,240.0,144.0,2010.0,8.0,4.0
0.0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1.0,106583,MG,0,3,0,0,3,0,7,2,MG,882,0.0,47.0,497300.0,0.0,120.0,120.0,2009.0,12.0,4.0
0.0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0.0,108631,MG,0,05,0,0,3,0,7,2,MG,882,0.0,47.0,102000.0,0.0,360.0,96.0,2010.0,6.0,4.0
0.0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1.0,1286331,MG,1,100,,4,3,0,7,2,MG,882,0.0,39.0,81600.0,0.0,12.0,72.0,2010.0,3.0,4.0
